sample_name	metric	marker	niche	a	b	slope_a	geodiversity_a	slope_b	geodiversity_b	withinamong	distance
855	unweighted	ITS1	Shrub	ITS-AS3011	ITS-AS3050	O2	Homogenous	H3	Heterogenous	among geodiversity	0.8533571630710242
856	unweighted	ITS1	Shrub	ITS-AS3011	ITS-AS3051	O2	Homogenous	H3	Heterogenous	among geodiversity	0.7543922487672304
857	unweighted	ITS1	Shrub	ITS-AS3011	ITS-AS3052	O2	Homogenous	H3	Heterogenous	among geodiversity	0.7680072663041719
858	unweighted	ITS1	Shrub	ITS-AS3011	ITS-AS3053	O2	Homogenous	H3	Heterogenous	among geodiversity	0.706994300972823
859	unweighted	ITS1	Shrub	ITS-AS3011	ITS-AS3054	O2	Homogenous	H3	Heterogenous	among geodiversity	0.6460587784556908
860	unweighted	ITS1	Shrub	ITS-AS3012	ITS-AS3020	O2	Homogenous	O3	Homogenous	within Homogenous	0.5809282279825582
861	unweighted	ITS1	Shrub	ITS-AS3012	ITS-AS3021	O2	Homogenous	O3	Homogenous	within Homogenous	0.6588251733964864
862	unweighted	ITS1	Shrub	ITS-AS3012	ITS-AS3022	O2	Homogenous	O3	Homogenous	within Homogenous	0.608302373104305
863	unweighted	ITS1	Shrub	ITS-AS3012	ITS-AS3023	O2	Homogenous	O3	Homogenous	within Homogenous	0.6901466449121796
864	unweighted	ITS1	Shrub	ITS-AS3012	ITS-AS3031	O2	Homogenous	H1	Heterogenous	among geodiversity	0.7267043613389762
865	unweighted	ITS1	Shrub	ITS-AS3012	ITS-AS3032	O2	Homogenous	H1	Heterogenous	among geodiversity	0.6996698171722466
866	unweighted	ITS1	Shrub	ITS-AS3012	ITS-AS3033	O2	Homogenous	H1	Heterogenous	among geodiversity	0.6826875525880524
867	unweighted	ITS1	Shrub	ITS-AS3012	ITS-AS3034	O2	Homogenous	H1	Heterogenous	among geodiversity	0.6424501116005042
868	unweighted	ITS1	Shrub	ITS-AS3012	ITS-AS3040	O2	Homogenous	H2	Heterogenous	among geodiversity	0.7889268839513869
869	unweighted	ITS1	Shrub	ITS-AS3012	ITS-AS3041	O2	Homogenous	H2	Heterogenous	among geodiversity	0.7302046152743088
870	unweighted	ITS1	Shrub	ITS-AS3012	ITS-AS3042	O2	Homogenous	H2	Heterogenous	among geodiversity	0.7133636019578881
871	unweighted	ITS1	Shrub	ITS-AS3012	ITS-AS3044	O2	Homogenous	H2	Heterogenous	among geodiversity	0.7269421529562595
872	unweighted	ITS1	Shrub	ITS-AS3012	ITS-AS3050	O2	Homogenous	H3	Heterogenous	among geodiversity	0.8489946897298648
873	unweighted	ITS1	Shrub	ITS-AS3012	ITS-AS3051	O2	Homogenous	H3	Heterogenous	among geodiversity	0.7569652583309093
874	unweighted	ITS1	Shrub	ITS-AS3012	ITS-AS3052	O2	Homogenous	H3	Heterogenous	among geodiversity	0.6000238060666705
875	unweighted	ITS1	Shrub	ITS-AS3012	ITS-AS3053	O2	Homogenous	H3	Heterogenous	among geodiversity	0.7021293693583497
876	unweighted	ITS1	Shrub	ITS-AS3012	ITS-AS3054	O2	Homogenous	H3	Heterogenous	among geodiversity	0.6330681036545661
877	unweighted	ITS1	Shrub	ITS-AS3013	ITS-AS3020	O2	Homogenous	O3	Homogenous	within Homogenous	0.6846393428588337
